PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LATITUDE,LONGITUDE
Single Family Residential,1115 Prairie Ridge Ln,Arlington,TX,76005,518500,3,3.5,Viridian Village 1e-3,3278,8886,2016,50,158,79,http://www.redfin.com/TX/ARLINGTON/1115-PRAIRIE-RIDGE-LN-76005/home/113471550,NTREIS,32.805099,-97.08911
Single Family Residential,2207 Franklin Dr,Arlington,TX,76011,265000,3,2,Parkway Central,2034,10803,1973,1,130,,http://www.redfin.com/TX/Arlington/2207-Franklin-Dr-76011/home/31887727,NTREIS,32.7693951,-97.1096312
Single Family Residential,2125 Riverforest Dr,Arlington,TX,76017,329000,3,3,Wimbledon North Add,2717,15115,1978,1,121,,http://www.redfin.com/TX/Arlington/2125-Riverforest-Dr-76017/home/32202956,NTREIS,32.6726744,-97.145403
Single Family Residential,8204 SILVERTON Dr,Arlington,TX,76001,370000,4,2.5,SOUTH POINTE ADDITION,3970,8712,2000,1,93,,http://www.redfin.com/TX/Arlington/8204-Silverton-Dr-76001/home/32428828,NTREIS,32.6120355,-97.1308813
Single Family Residential,8114 Loretta Day Dr,Arlington,TX,76002,329900,3,2,Day Add,2035,6360,2019,1,162,44,http://www.redfin.com/TX/Arlington/8114-Loretta-Day-Dr-76002/home/169578121,NTREIS,32.6114003,-97.087199
Single Family Residential,123 Parkview Dr,Arlington,TX,76010,175000,3,2,Parkview Add,1160,13112,1950,1,151,,http://www.redfin.com/TX/Arlington/123-Parkview-Dr-76010/home/31887882,NTREIS,32.7363299,-97.0806662
Single Family Residential,1714 Wild Deer Way,Arlington,TX,76002,309995,4,2.5,Deer Creek Arlington,2929,8538,2010,1,106,39,http://www.redfin.com/TX/Arlington/1714-Wild-Deer-Way-76002/home/31210008,NTREIS,32.6193361,-97.0775359
Single Family Residential,408 Quail Roost Ln,Arlington,TX,76002,349900,4,2.5,Quail Creek Add,3451,13329,2002,1,101,,http://www.redfin.com/TX/Arlington/408-Quail-Roost-Ln-76002/home/32488495,NTREIS,32.6284237,-97.1079703
Single Family Residential,4406 Terraview Dr,Arlington,TX,76001,332990,4,2.5,Highcroft Estates,2536,7318,2021,1,131,67,http://www.redfin.com/TX/Arlington/Terraview-Dr-76001/home/169580700,NTREIS,32.616451,-97.185466
Single Family Residential,7710 Longbow Ln,Arlington,TX,76002,299900,4,2.5,Deer Creek Arlington,2479,8276,2005,1,121,,http://www.redfin.com/TX/Arlington/7710-Longbow-Ln-76002/home/31013468,NTREIS,32.6147895,-97.0867729
Single Family Residential,4408 Terraview Dr,Arlington,TX,76001,314990,3,3,Highcroft Estates,2284,7187,2021,1,138,67,http://www.redfin.com/TX/Arlington/Terraview-Dr-76001/home/169580701,NTREIS,32.616252,-97.185985
Single Family Residential,6428 Fannin Dr,Arlington,TX,76001,379000,5,3.5,Fannin Farm Add,3116,10280,1995,2,122,25,http://www.redfin.com/TX/Arlington/6428-Fannin-Dr-76001/home/32431148,NTREIS,32.6401526,-97.1396816
Single Family Residential,2708 Fox Creek Trl,Arlington,TX,76017,399999,4,3.5,Foxwood Glen,3719,9060,2009,2,108,42,http://www.redfin.com/TX/Arlington/2708-Fox-Creek-Trl-76017/home/31128753,NTREIS,32.6734337,-97.1536494
Single Family Residential,2003 Pennington Dr,Arlington,TX,76014,235000,3,2,Brandyridge,1709,7187,1979,2,138,,http://www.redfin.com/TX/Arlington/2003-Pennington-Dr-76014/home/31416036,NTREIS,32.6876419,-97.0777241
