BroadCat,SubCat,Occupation title (click on the occupation title to view its profile),Level,Employment,"Employment per 1,000 jobs",Mean hourly wage,Annual mean wage
41,2031,Retail Salespersons,detail,4448120,30.7,13.61,28310
35,3020,Fast Food and Counter Workers,broad,4150030,28.7,10.7,22260
53,7060,"Laborers and Material Movers, Hand",broad,4002390,27.7,14.32,29790
35,3021,"Combined Food Preparation and Serving Workers, Including Fast Food",detail,3676180,25.4,10.64,22140
41,2010,Cashiers,broad,3657570,25.3,11.19,23270
41,2011,Cashiers,detail,3635550,25.1,11.17,23240
43,6010,Secretaries and Administrative Assistants,broad,3498120,24.2,20.34,42320
53,3030,Driver/Sales Workers and Truck Drivers,broad,3130500,21.6,19.68,40920
37,2010,Building Cleaning Workers,broad,3094210,21.4,13.44,27960
43,9061,"Office Clerks, General",detail,2972930,20.5,16.92,35200
29,1141,Registered Nurses,detail,2951960,20.4,36.3,75510
53,7062,"Laborers and Freight, Stock, and Material Movers, Hand",detail,2893180,20.0,14.85,30890
43,4051,Customer Service Representatives,detail,2871400,19.8,17.53,36470
35,3031,Waiters and Waitresses,detail,2582410,17.8,12.42,25830
35,2010,Cooks,broad,2403510,16.6,12.77,26560
31,1010,"Nursing, Psychiatric, and Home Health Aides",broad,2355640,16.3,13.55,28180
11,1021,General and Operations Managers,detail,2289770,15.8,59.56,123880
39,9021,Personal Care Aides,detail,2211950,15.3,12.06,25090
43,6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",detail,2165310,15.0,18.28,38030
37,2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",detail,2156270,14.9,13.92,28950
43,5081,Stock Clerks and Order Fillers,detail,2056030,14.2,13.71,28520
25,2020,Elementary and Middle School Teachers,broad,2032880,14.0,3.10,62150
53,3032,Heavy and Tractor-Trailer Truck Drivers,detail,1800330,12.4,21.91,45570
15,1130,Software Developers and Programmers,broad,1666270,11.5,50.23,104480
41,4010,"Sales Representatives, Wholesale and Manufacturing",broad,1663160,11.5,35.43,73680
43,3031,"Bookkeeping, Accounting, and Auditing Clerks",detail,1530430,10.6,20.25,42110
43,1011,First-Line Supervisors of Office and Administrative Support Workers,detail,1477560,10.2,28.53,59340
31,9090,Miscellaneous Healthcare Support Occupations,broad,1464780,10.1,17.23,35830
31,1014,Nursing Assistants,detail,1450960,10.0,14.22,29580
41,1010,First-Line Supervisors of Sales Workers,broad,1429100,9.9,24.97,51930
25,2021,"Elementary School Teachers, Except Special Education",detail,1410970,9.7,3.10,62200
49,9071,"Maintenance and Repair Workers, General",detail,1384240,9.6,19.72,41020
51,2090,Miscellaneous Assemblers and Fabricators,broad,1376130,9.5,16.49,34300
51,2098,"Assemblers and Fabricators, All Other, Including Team Assemblers",detail,1354150,9.4,16.48,34270
41,4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",detail,1350180,9.3,33.4,69480
35,2014,"Cooks, Restaurant",detail,1340810,9.3,13.26,27580
25,9041,Teacher Assistants,detail,1331560,9.2,1.43,28750
13,2011,Accountants and Auditors,detail,1259930,8.7,37.89,78820
41,1011,First-Line Supervisors of Retail Sales Workers,detail,1181530,8.2,21.67,45080
25,2030,Secondary School Teachers,broad,1129040,7.8,3.20,64230
33,9030,Security Guards and Gaming Surveillance Officers,broad,1124610,7.8,15.43,32090
33,9032,Security Guards,detail,1114380,7.7,15.41,32050
35,1010,Supervisors of Food Preparation and Serving Workers,broad,1093000,7.6,18.3,38070
13,1199,"Business Operations Specialists, All Other",detail,1060580,7.3,37,76960
25,2031,"Secondary School Teachers, Except Special and Career/Technical Education",detail,1051570,7.3,3.20,64340
43,4171,Receptionists and Information Clerks,detail,1043630,7.2,14.59,30350
41,3099,"Sales Representatives, Services, All Other",detail,1033820,7.1,31.18,64860
47,2061,Construction Laborers,detail,1001470,6.9,19.4,40350
37,3010,Grounds Maintenance Workers,broad,994880,6.9,15.19,31600
35,1012,First-Line Supervisors of Food Preparation and Serving Workers,detail,964400,6.7,17.4,36190
37,2012,Maids and Housekeeping Cleaners,detail,924290,6.4,12.3,25570
53,3033,Light Truck or Delivery Services Drivers,detail,915310,6.3,17.75,36920
37,3011,Landscaping and Groundskeeping Workers,detail,913480,6.3,14.88,30940
15,1132,"Software Developers, Applications",detail,903160,6.2,51.96,108080
25,3090,Miscellaneous Teachers and Instructors,broad,902740,6.2,18.19,37840
35,2021,Food Preparation Workers,detail,814600,5.6,11.94,24830
15,1150,Computer Support Specialists,broad,812060,5.6,27.86,57950
49,3020,Automotive Technicians and Repairers,broad,809740,5.6,21.17,44030
29,2050,Health Practitioner Support Technologists and Technicians,broad,801590,5.5,17.76,36930
31,1011,Home Health Aides,detail,797670,5.5,12.18,25330
51,9190,Miscellaneous Production Workers,broad,796900,5.5,16.02,33320
21,1010,Counselors,broad,735100,5.1,24.96,51920
47,2031,Carpenters,detail,718730,5.0,24.58,51120
29,2061,Licensed Practical and Licensed Vocational Nurses,detail,701690,4.8,22.62,47050
15,1120,Computer and Information Analysts,broad,696030,4.8,45.67,94990
21,1090,Miscellaneous Community and Social Service Specialists,broad,693040,4.8,20.59,42820
29,1120,Therapists,broad,687790,4.8,38.24,79530
13,1111,Management Analysts,detail,684470,4.7,45.38,94390
