Year,Country,Location,Latitude,Longitude,Focal Depth (km),Mag,Deaths
1864,IRAQ,"ZURBATIYAH, BADRAH, TURSAQ, BAGHDAD",33.38,45.98,,6.4,100
1858,SLOVAKIA,ZILINA,49.2,18.8,,,
1983,PAKISTAN,ZIARAT,30.349,67.84,10,4.2,
2008,PAKISTAN,ZIARAT,30.598,67.455,14,6.4,
1845,TAIWAN,ZHANGHUA,24.1,120.5,,6,380
1848,TAIWAN,ZHANGHUA,24.1,120.5,,6.8,1001
1882,TAIWAN,ZHANGHUA,23.8,120.5,,6.3,8
1847,JAPAN,"ZENKOJI, NAGANO",37,138,,7.4,12000
2004,ALGERIA,ZEMMOURI,36.865,3.421,10,4.5,
1837,ISRAEL,ZEFAT (SAFED); LEBANON,33,35.5,,6.4,5000
1759,ISRAEL,ZEFAT (SAFED),33,35.5,,6.4,
1990,KAZAKHSTAN,ZAYSAN,47.903,84.961,33,4.5,
2007,ECUADOR,ZARUMA,-3.987,-79.836,50,4.5,
2006,IRAN,ZARAND,30.79,56.7,14,4.1,
1909,TURKEY,"ZARA,IPSALA,KOYULHISAR,ENDERS",40.2,37.8,,6.3,
1791,GREECE,"ZANTE, GASTUNI",35.8,21,,7,50
1931,ARMENIA,"ZANGEZUR, NAKHITCHEVAN",39.2,46,22,6.3,2890
1968,ARMENIA,ZANGEZUR,39.1,46.1,,5,
1968,ARMENIA,ZANGEZUR,39.1,46.2,24,5,
1898,GREECE,ZAKYNTHOS,37.75,21,,,
2006,GREECE,ZAKYNTHOS,37.64,20.92,18,5.5,
1893,GREECE,"ZAKINTHOS (ZANTE), GAITANI-KERI",37.7,20.9,,6.4,
1633,GREECE,ZAKINTHOS (ZANTE),37.5,21,,6.9,
1636,GREECE,ZAKINTHOS (ZANTE),38.1,20.3,,,
1791,GREECE,ZAKINTHOS (ZANTE),37.5,20.3,,,22
1820,GREECE,ZAKINTHOS (ZANTE),37.75,21.25,,6.9,8
1821,GREECE,ZAKINTHOS (ZANTE),37.8,21.2,,,
1840,GREECE,ZAKINTHOS (ZANTE),38,21,,,12
1893,GREECE,ZAKINTHOS (ZANTE),37.7,20.9,,6.4,
2012,AZERBAIJAN,ZAGATALA,41.549,46.789,11,5.7,
1932,EL SALVADOR,"ZACATECOLUCA,SAN JUAN,NONUALCO",13.3,-88.5,,,
1622,MEXICO,ZACATECAS,23,-103,,,
1358,YEMEN,"ZABID,SANA,ADAN",14.1,43.2,,,61
1426,YEMEN,"ZABID,BAHRAIN",14.1,43.2,,,60
1463,YEMEN,ZABID,14.1,43.2,,,10
1970,CHINA,YUNNAN PROVINCE; VIETNAM,24.1,102.5,31,7.8,10000
1998,CHINA,YUNNAN PROVINCE  SOUTHEASTERN,26.373,104.021,10,4.5,
2012,CHINA,YUNNAN PROVINCE,27.575,103.983,10,5.6,81
2018,CHINA,YUNNAN PROVINCE,24.322,102.941,10,5,
2001,CHINA,YUNNAN PROVINCE,26.316,100.648,10,5.6,1
2014,CHINA,YUNNAN PROVINCE,28.125,103.546,10,5,
2014,CHINA,YUNNAN PROVINCE,23.383,100.47,9,6.1,1
2014,CHINA,YUNNAN PROVINCE,23.358,100.533,10,5.6,1
2014,CHINA,YUNNAN PROVINCE,25,97.845,10,5.9,
1500,CHINA,YUNNAN PROVINCE,24.9,103.1,,,10000
1560,CHINA,YUNNAN PROVINCE,24.9,103.2,,5.5,
1499,CHINA,YUNNAN PROVINCE,25,103,,,10000
2000,CHINA,YUNNAN PROVINCE,25.607,101.063,33,5.9,5
2009,CHINA,YUNNAN PROVINCE,25.632,101.095,7,5.7,
1927,CHINA,YUNNAN PROVINCE,26,103,,6,
1927,CHINA,YUNNAN PROVINCE,24.1,102,,5,7
2014,CHINA,YUNNAN PROVINCE,28.174,103.619,25,5.4,
1995,CHINA,YUNNAN PROVINCE,26.003,102.227,10,6.2,81
2000,CHINA,YUNNAN PROVINCE,25.826,102.194,33,4.2,1
2005,CHINA,YUNNAN PROVINCE,23.627,104.103,10,4.5,
1586,CHINA,YUNNAN PROVINCE,25.3,100.3,,5.5,20
1588,CHINA,YUNNAN PROVINCE,24,102.8,,6,
1789,CHINA,YUNNAN PROVINCE,24.2,102.8,,6.5,
1571,CHINA,YUNNAN PROVINCE,24.1,102.7,,6,
1925,CHINA,YUNNAN PROVINCE,25.7,100.4,26,7,5000
1725,CHINA,YUNNAN PROVINCE,25.1,103.1,,6,614
1814,CHINA,YUNNAN PROVINCE,23.7,102.5,,6,900
1942,CHINA,YUNNAN PROVINCE,23.1,100.3,,6.8,90
