ID,Player,Team,Location,Position,Salary,Age,GamesPlayed,Minutes,PointsPerGame,FGMade,FGAttempted,ThreesMade,ThreesAttempted,FTMade,FTAttempted,OffRebound,DefRebound,Rebounds,Assists,Steals,Blocks,TurnOvers,Efficiency,Fouls
1,Aaron Gordon,ORL,Orlando Magic,Power Forward,19863636,24,61,36.7,13.8,9.9,22.7,4.4,12.6,10.1,11.8,1,5.3,6.4,7.4,1.7,0.9,4.5,31.8,2.2
2,Aaron Holiday,IND,Indiana Pacers,Point Guard,2329200,23,57,36,8.8,10.4,22.9,3,8.4,6.8,8,0.9,3.3,4.2,6.1,1.2,0.4,3.4,25.4,1.6
3,Abdel Nader,OKC,Oklahoma City Thunder,Small Forward,1618520,26,57,30.9,6.8,10.9,20,1.5,4.8,6.3,10,2.3,11.5,13.7,5.8,1,1,3.7,34.8,1.1
4,Adam Mokoka,CHI,Chicago Bulls,,,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Admiral Schofield,WAS,Washington Wizards,Shooting Guard,1000000,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Al Horford,PHI,Philadelphia 76ers,Power Forward,28000000,34,60,35.3,14.5,9.1,20.8,3.4,9.5,8,9.3,0.5,3.7,4.3,9.3,1.1,0.1,4.8,26.6,2.2
7,Alec Burks,PHI,Philadelphia 76ers,Shooting Guard,1620564,28,58,36.9,15,9.2,20,3.9,9.9,6.7,7.6,0.5,3.8,4.3,7.8,1,0.4,2.9,27.8,2.2
8,Alen Smailagic,GSW,Golden State Warriors,Power Forward,898310,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Alex Caruso,LAL,Los Angeles Lakers,Shooting Guard,2750000,26,54,33.3,5,9.5,20.6,2.9,9.1,6.8,9.1,1.3,8,9.3,8.7,1.1,0.2,4.2,30.4,1.6
10,Alex Len,SAC,Sacramento Kings,Center,4160000,26,53,35.9,7.3,10.7,22.6,1,3.8,5.1,6.5,1.8,6.3,8,7,1.7,0.3,4.5,26.7,2.1
11,Al-Farouq Aminu,ORL,Orlando Magic,Power Forward,9258000,29,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
12,Alfonzo McKinnie,CLE,Cleveland Cavaliers,Small Forward,1500000,27,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3
13,Alize Johnson,IND,Indiana Pacers,Power Forward,1416852,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Allen Crabbe,MIN,Minnesota Timberwolves,Guard,18500000,28,0,0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7
15,Allonzo Trier,NYK,New York Knicks,Shooting Guard,3551000,24,0,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1
16,Amile Jefferson,ORL,Orlando Magic,Power Forward,1529007,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Amir Coffey,LAC,LA Clippers,,,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
