Location,Hemisphere,Satellite,Source,Operator,Type,Coverage,Remarks,Launch Date,Rocket
180,W,Intelsat-18,,Intelsat,Television and Radio Broadcasting,South Pacific,Replaced Intelsat 701,10/5/2011,Zenit
177.1,W,Yamal 300K,CIS,Gazprom Space Systems,Television and Internet,Russia,,11/2/2012,Proton-M
183,E,NSS-9,,SES,Intercontinental Voice  Video  and Internet,Pacific Ocean Region,,2/12/2009,Ariane 5
176.8,W,Astra 3B,,,,,,,
174.3,W,TDRS-10,,,,,,,
171.1,W,TDRS-11,,,,,,,
167.6,W,TDRS-5,,,,,,,
148,W,EchoStar-1,US,Echostar/DISH Network,Direct Broadcasting,,Scheduled to move to 77°W soon,12/28/1995, Long March 2E
139,W,Americom-8,US,SES Americom & AT&T Alascom,Television and radio broadcasting,24 C band (Canada  Caribbean  CONUS),Previously GE-8 for GE Americom; also known as Aurora III; replaced Satcom C-5 in March 2001,12/19/2000, Ariane 5G
137,W,Americom-7,US,SES Americom,Television and radio broadcasting,Canada  CONUS  Mexico,Previously GE-7 for GE Americom,9/14/2000, Ariane 5G
135,W,Americom-10,US,SES Americom,Television and Radio Broadcasting,Canada  Caribbean  CONUS  Mexico,,2/5/2004, Atlas II-AS
134.7,W,GOES-15,US,National Environmental Satellite  Data  and Information Service (NESDIS)[5],Weather[5],North America and the Pacific Ocean basin[5],,3/4/2010, Delta IV
133,W,Galaxy-15,,,,,,,
131,W,AMC-11,US,SES Americom,Television and Radio Broadcasting,24 C Band transponders (Canada  Caribbean  CONUS  Mexico),Formerly GE-11 ; replaced Satcom C3[6],5/19/2005, Atlas II-AS
129,W,Galaxy-12,US,Intelsat,Television/Radio Broadcasting,,replaced failed Galaxy 15,4/9/2003,[7] Ariane 5G
128.8,W,Ciel-2,Canada,Ciel Satellite Group,Direct Broadcasting,,Leased to Echostar/Dish Network,12/10/2008, Proton-M
128.6,W,AMC-1,,,,,,,
127,W,Galaxy-13,US,Intelsat,,24 C Band transponders,Same satellite as Horizons-1,10/1/2003, Zenit-3SL
127,W,Horizons-1,US,Japan Satellite Systems,,24 Ku-Band transponders,Same satellite as Galaxy-13,10/1/2003, Zenit-3SL
