Year,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Agent,Deaths
-4360,Macauley Island,Kermadec Is,New Zealand,-30.2,-178.47,238,Caldera,6,,
-4350,Kikai,Ryukyu Is,Japan,30.78,130.28,717,Caldera,7,P,
-4050,Masaya,Nicaragua,Nicaragua,11.984,-86.161,635,Caldera,6,,
-4000,Pago,New Britain-SW Pac,Papua New Guinea,-5.58,150.52,742,Caldera,6,T,
-3580,Taal,Luzon-Philippines,Philippines,14.002,120.993,400,Stratovolcano,6,,
-3550,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,6,,
-2420,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,5,"P,T",
-2040,Long Island,New Guinea-NE of,Papua New Guinea,-5.358,147.12,1280,Complex volcano,6,,
-1900,Black Peak,Alaska Peninsula,United States,56.53,-158.8,1032,Stratovolcano,6,,
-1890,"Hudson, Cerro",Chile-S,Chile,-45.9,-72.97,1905,Stratovolcano,6,,
-1860,St. Helens,US-Washington,United States,46.2,-122.18,2549,Stratovolcano,6,,
-1750,Veniaminof,Alaska Peninsula,United States,56.17,-159.38,2507,Stratovolcano,6,,
-1645,Aniakchak,Alaska Peninsula,United States,56.88,-158.17,1341,Caldera,6,,
-1610,Santorini,Greece,Greece,36.404,25.396,329,Shield volcano,7,W,
-1550,Redoubt,Alaska-SW,United States,60.48,-152.75,3108,Stratovolcano,,,
-1460,Taupo,New Zealand,New Zealand,-38.82,176,760,Caldera,6,,
-1370,Pago,New Britain-SW Pac,Papua New Guinea,-5.58,150.52,742,Caldera,6,,
-1050,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,6,,
-1010,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,5,,
-455,Cotopaxi,Ecuador,Ecuador,-0.677,-78.436,5911,Stratovolcano,4,M,
-250,Raoul Island,Kermadec Is,New Zealand,-29.27,-177.92,516,Stratovolcano,6,,
-197,Santorini,Greece,Greece,36.404,25.396,329,Shield volcano,3,,
-150,St. Andrew Strait,Admiralty Is-SW Paci,Papua New Guinea,-2.38,147.35,270,Complex volcano,,,
-141,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,,,40
-100,Okmok,Aleutian Is,United States,53.42,-168.13,1073,Shield volcano,6,,
-50,Apoyeque,Nicaragua,Nicaragua,12.242,-86.342,518,Pyroclastic shield,6,,
46,Santorini,Greece,Greece,36.404,25.396,329,Shield volcano,3,,
50,Ambrym,Vanuatu-SW Pacific,Vanuatu,-16.25,168.12,1334,Pyroclastic shield,6,,
60,Bona-Churchill,Alaska-E,United States,61.38,-141.75,5005,Stratovolcano,6,,
79,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,5,"P,T",2100
200,"Arhab, Harra of",Arabia-S,Yemen,15.63,44.08,3100,Volcanic field,,,
230,Taupo,New Zealand,New Zealand,-38.82,176,760,Caldera,6,,
240,Ksudach,Kamchatka,Russia,51.8,157.53,1079,Stratovolcano,6,,
350,Augustine,Alaska-SW,United States,59.37,-153.42,1252,Lava dome,,,
416,Krakatau,Indonesia,Indonesia,-6.102,105.423,813,Caldera,,W,
450,Ilopango,El Salvador,El Salvador,13.672,-89.053,450,Caldera,6,,30000
500,"Arhab, Harra of",Arabia-S,Yemen,15.63,44.08,3100,Volcanic field,,,
590,San Salvador,El Salvador,El Salvador,13.736,-89.286,1893,Stratovolcano,,,
640,"Uwayrid, Harrat",Arabia-W,Saudi Arabia,27.08,37.25,1900,Volcanic field,2,T,
653,Dakataua,New Britain-SW Pac,Papua New Guinea,-5.056,150.108,400,Caldera,6,,
683,Rabaul,New Britain-SW Pac,Papua New Guinea,-4.271,152.203,688,Pyroclastic shield,6,,
710,Pago,New Britain-SW Pac,Papua New Guinea,-5.58,150.52,742,Caldera,6,,
764,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117,Stratovolcano,4,"T,L",80
766,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117,Stratovolcano,3,,
787,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,3,,
847,Bona-Churchill,Alaska-E,United States,61.38,-141.75,5005,Stratovolcano,6,,
920,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,4,,
930,Ceboruco,Mexico,Mexico,21.125,-104.508,2280,Stratovolcano,6,,
