Country,Continent,Total Cases,Total Deaths,Total Recovered,Active Cases,Serious/Critical,Total Cases per 1M,Deaths per 1M,Total Tests,Tests per 1M,Population
Vatican City,Europe,9,0,2,7,0,11236,0,0,0,801
Falkland Islands,South America,11,0,3,8,0,3161,0,319,91667,3480
Montserrat,North America,11,0,2,9,1,2204,0,36,7212,4992
Saint Pierre and Miquelon,North America,1,0,0,1,0,173,0,0,0,5794
St. Barth,North America,6,0,5,1,0,607,0,0,0,9877
Anguilla,North America,3,0,1,2,0,200,0,0,0,15003
British Virgin Islands,North America,5,1,3,1,0,165,33,0,0,30231
Gibraltar,Europe,132,0,120,12,1,3918,0,1912,56751,33691
San Marino,Europe,462,39,61,362,4,13616,1149,1726,50868,33931
Liechtenstein,Europe,81,1,55,25,0,2124,26,900,23605,38128
Saint Martin,North America,37,2,19,16,5,957,52,0,0,38666
Turks and Caicos,North America,11,1,0,10,0,284,26,83,2144,38717
Monaco,Europe,94,3,23,68,3,2395,76,0,0,39242
Sint Maarten,North America,67,10,12,45,6,1563,233,163,3802,42876
Faeroe Islands,Europe,185,0,176,9,0,3786,0,6021,123222,48863
Saint Kitts and Nevis,North America,15,0,0,15,0,282,0,247,4643,53199
Greenland,North America,11,0,11,0,0,194,0,1043,18372,56770
Bermuda,North America,86,5,37,44,10,1381,80,651,10453,62278
Cayman Islands,North America,66,1,7,58,3,1004,15,778,11838,65722
Dominica,North America,16,0,8,8,0,222,0,345,4793,71986
Andorra,Europe,717,37,248,432,17,9280,479,1673,21653,77265
Isle of Man,Europe,300,9,200,91,15,3528,106,2509,29506,85033
Antigua and Barbuda,North America,23,3,3,17,1,235,31,73,745,97929
Seychelles,Africa,11,0,5,6,0,112,0,0,0,98347
Aruba,North America,97,2,49,46,4,909,19,1442,13506,106766
St. Vincent Grenadines,North America,12,0,1,11,0,108,0,87,784,110940
Grenada,North America,14,0,6,8,4,124,0,92,818,112523
Curaçao,North America,14,1,11,2,0,85,6,286,1743,164093
Saint Lucia,North America,15,0,13,2,0,82,0,344,1873,183627
Sao Tome and Principe,Africa,4,0,0,4,0,18,0,19,87,219159
Mayotte,Africa,271,4,117,150,5,993,15,1850,6781,272815
French Polynesia,Australia/Oceania,56,0,19,37,1,199,0,1515,5393,280908
New Caledonia,Australia/Oceania,18,0,15,3,1,63,0,3399,11906,285498
Barbados,North America,75,5,23,47,4,261,17,1063,3699,287375
French Guiana,South America,97,1,69,27,2,325,3,0,0,298682
Iceland,Europe,1773,10,1362,401,4,5196,29,43143,126429,341243
Martinique,North America,163,12,73,78,11,434,32,0,0,375265
Bahamas,North America,60,9,11,40,1,153,23,0,0,393244
Belize,North America,18,2,2,14,1,45,5,651,1637,397628
Guadeloupe,North America,148,8,73,67,13,370,20,0,0,400124
Brunei ,Asia,138,1,116,21,2,315,2,11633,26591,437479
Malta,Europe,431,3,126,302,2,976,7,24919,56436,441543
Maldives,Asia,69,0,16,53,1,128,0,4139,7657,540544
Cabo Verde,Africa,67,1,1,65,0,121,2,0,0,555987
Suriname,South America,10,1,6,3,0,17,2,0,0,586632
Western Sahara,Africa,6,0,0,6,0,10,0,0,0,597339
Luxembourg,Europe,3558,75,637,2846,32,5684,120,33798,53992,625978
Montenegro,Europe,312,5,88,219,7,497,8,3874,6168,628066
Macao,Asia,45,0,22,23,1,69,0,0,0,649335
Bhutan,Asia,5,0,2,3,0,6,0,8570,11107,771608
Guyana,South America,66,7,9,50,5,84,9,328,417,786552
Réunion,Africa,408,0,237,171,4,456,0,0,0,895312
Fiji,Australia/Oceania,18,0,3,15,0,20,0,0,0,896445
