Name,Abbrev,Capital,Became a State,Population,Total area,Reps
Alabama,AL,Montgomery,12/14/1819,4903185,52420,7
Alaska,AK,Juneau,1/3/1959,731545,665384,1
Arizona,AZ,Phoenix,2/14/1912,7278717,113990,9
Arkansas,AR,Little Rock,6/15/1836,3017804,53179,4
California,CA,Sacramento,9/9/1850,39512223,163695,53
Colorado,CO,Denver,8/1/1876,5758736,104094,7
Connecticut,CT,Hartford,1/9/1788,3565278,5543,5
Delaware,DE,Dover,12/7/1787,973764,2489,1
Florida,FL,Tallahassee,3/3/1845,21477737,65758,27
Georgia,GA,Atlanta,1/2/1788,10617423,59425,14
Hawaii,HI,Honolulu,8/21/1959,1415872,10932,2
Idaho,ID,Boise,7/3/1890,1787065,83569,2
Illinois,IL,Springfield,12/3/1818,12671821,57914,18
Indiana,IN,Indianapolis,12/11/1816,6732219,36420,9
Iowa,IA,Des Moines,12/28/1846,3155070,56273,4
Kansas,KS,Topeka,1/29/1861,2913314,82278,4
Kentucky,KY,Frankfort,6/1/1792,4467673,40408,6
Louisiana,LA,Baton Rouge,4/30/1812,4648794,52378,6
Maine,ME,Augusta,3/15/1820,1344212,35380,2
Maryland,MD,Annapolis,4/28/1788,6045680,12406,8
Massachusetts,MA,Boston,2/6/1788,6892503,10554,9
Michigan,MI,Lansing,1/26/1837,9986857,96714,14
Minnesota,MN,St. Paul,5/11/1858,5639632,86936,8
Mississippi,MS,Jackson,12/10/1817,2976149,48432,4
Missouri,MO,Jefferson City,8/10/1821,6137428,69707,8
Montana,MT,Helena,11/8/1889,1068778,147040,1
Nebraska,NE,Lincoln,3/1/1867,1934408,77348,3
Nevada,NV,Carson City,10/31/1864,3080156,110572,4
New Hampshire,NH,Concord,6/21/1788,1359711,9349,2
New Jersey,NJ,Trenton,12/18/1787,8882190,8723,12
New Mexico,NM,Santa Fe,1/6/1912,2096829,121590,3
New York,NY,Albany,7/26/1788,19453561,54555,27
North Carolina,NC,Raleigh,11/21/1789,10488084,53819,13
North Dakota,ND,Bismarck,11/2/1889,762062,70698,1
Ohio,OH,Columbus,3/1/1803,11689100,44826,16
Oklahoma,OK,Oklahoma City,11/16/1907,3956971,69899,5
Oregon,OR,Salem,2/14/1859,4217737,98379,5
Pennsylvania,PA,Harrisburg,12/12/1787,12801989,46054,18
Rhode Island,RI,Providence,5/29/1790,1059361,1545,2
South Carolina,SC,Columbia,5/23/1788,5148714,32020,7
South Dakota,SD,Pierre,11/2/1889,884659,77116,1
Tennessee,TN,Nashville,6/1/1796,6829174,42144,9
Texas,TX,Austin,12/29/1845,28995881,268596,36
Utah,UT,Salt Lake City,1/4/1896,3205958,84897,4
Vermont,VT,Montpelier,3/4/1791,623989,9616,1
Virginia,VA,Richmond,6/25/1788,8535519,42775,11
Washington,WA,Olympia,11/11/1889,7614893,71298,10
West Virginia,WV,Charleston,6/20/1863,1792147,24230,3
Wisconsin,WI,Madison,5/29/1848,5822434,65496,8
Wyoming,WY,Cheyenne,7/10/1890,578759,97813,1
